filename, texts, noretweets, engtweets, oldscruff, newscruff
rona-rumours-corpus-ᾱ-2020-07-22.jsonl.gz,    11495,    12185,    11495,     7512,     3085
rona-rumours-corpus-ᾱ-2020-07-23.jsonl.gz,    11848,    12592,    11848,     7847,     3340
rona-rumours-corpus-ᾱ-2020-07-24.jsonl.gz,    14154,    14873,    14154,     9228,     3572
rona-rumours-corpus-ᾱ-2020-07-25.jsonl.gz,    25785,    26634,    25785,    16735,     6781
rona-rumours-corpus-ᾱ-2020-07-26.jsonl.gz,    17994,    19904,    17994,    11309,     4441
rona-rumours-corpus-ᾱ-2020-07-27.jsonl.gz,    14735,    15971,    14735,     9595,     3850
rona-rumours-corpus-ᾱ-2020-07-28.jsonl.gz,    15207,    16453,    15207,    10065,     4201
rona-rumours-corpus-ᾱ-2020-07-29.jsonl.gz,    17731,    20149,    17731,    11166,     4162
rona-rumours-corpus-ᾱ-2020-07-30.jsonl.gz,    19926,    22355,    19926,    12960,     4956
rona-rumours-corpus-ᾱ-2020-07-31.jsonl.gz,    16179,    18669,    16179,    10359,     4027
rona-rumours-corpus-ᾱ-2020-08-01.jsonl.gz,    18915,    24491,    18915,    11307,     4095
rona-rumours-corpus-ᾱ-2020-08-02.jsonl.gz,    21738,    27313,    21738,    13083,     5072
rona-rumours-corpus-ᾱ-2020-08-03.jsonl.gz,    20280,    23737,    20280,    12530,     4569
rona-rumours-corpus-ᾱ-2020-08-04.jsonl.gz,    17533,    20138,    17533,    11015,     4170
rona-rumours-corpus-ᾱ-2020-08-05.jsonl.gz,    13614,    16217,    13614,     8552,     3257
rona-rumours-corpus-ᾱ-2020-08-06.jsonl.gz,    13451,    15894,    13451,     8485,     3308
rona-rumours-corpus-ᾱ-2020-08-07.jsonl.gz,    13985,    16343,    13985,     8583,     3308
rona-rumours-corpus-ᾱ-2020-08-08.jsonl.gz,    14414,    16617,    14414,     8698,     3427
rona-rumours-corpus-ᾱ-2020-08-09.jsonl.gz,    14125,    16431,    14125,     8983,     3613
rona-rumours-corpus-ᾱ-2020-08-10.jsonl.gz,    14717,    17024,    14717,     9275,     3389
rona-rumours-corpus-ᾱ-2020-08-11.jsonl.gz,    13852,    16108,    13852,     8706,     3229
rona-rumours-corpus-ᾱ-2020-08-12.jsonl.gz,    12337,    14735,    12337,     7524,     2795
